Customer_ID,First Name,Last Name,City,Age,Gender,Account Balance,Loan Amount,Monthly Income,Account Type,Status
CUST0001,Ellen,Young,Trichy,27.0,female,173251.0,201954.0,60097,Savings,Active
CUST0002,Mark,Watson,Salem,22.0,Female,290970.0,230892.0,84539,Current,Inactive
CUST0003,Jennifer,Daniels,Salem,59.0,male,154393.0,46687.0,129825,Current,Active
CUST0004,Karen,Jordan,Salem,53.0,M,407998.0,229123.0,33489,Salary,Inactive
CUST0005,Ryan,Ford,Trichy,48.0,F,,82629.0,36790,Salary,Active
CUST0006,Alexis,Roy,Trichy,39.0,male,393546.0,282820.0,60204,Salary,Active
CUST0007,Jonathon,Wright,Coimbatore,40.0,male,277326.0,202534.0,63511,Salary,Inactive
CUST0008,Kevin,Daniel,Chennai,31.0,F,409932.0,209949.0,17760,Current,Active
CUST0009,Aaron,Carpenter,Trichy,47.0,M,468043.0,123836.0,101261,Savings,Active
CUST0010,Brittany,Anderson,Coimbatore,45.0,M,328320.0,171683.0,115464,Savings,Inactive
CUST0011,Jose,Carson,Madurai,57.0,Male,311372.0,251677.0,47473,Savings,Active
CUST0012,Christopher,Smith,Coimbatore,38.0,M,37657.0,146719.0,147344,Current,Inactive
CUST0013,Brent,Robbins,Coimbatore,57.0,F,,97461.0,80848,Current,Active
CUST0014,Benjamin,Alvarez,Salem,34.0,FEMALE,235791.0,49290.0,24861,Current,Inactive
CUST0015,Kenneth,Barker,Coimbatore,34.0,Male,142325.0,119346.0,63943,Savings,Active
CUST0016,Nathan,Humphrey,Coimbatore,25.0,F,183534.0,37832.0,82064,Salary,Inactive
CUST0017,Rodney,Mueller,Salem,39.0,,378588.0,4870.0,147525,Savings,Active
CUST0018,John,Williamson,Chennai,32.0,Female,109396.0,24146.0,84605,Savings,Inactive
CUST0019,Alexis,Collins,Madurai,58.0,FEMALE,366989.0,66345.0,93738,Savings,Inactive
CUST0020,Dustin,Garcia,Chennai,29.0,F,28089.0,105962.0,89657,Savings,Inactive
CUST0021,Raymond,Brown,Trichy,24.0,MALE,464120.0,255109.0,49534,Current,Inactive
CUST0022,Latoya,White,Salem,52.0,Female,242645.0,215764.0,119723,Salary,Active
CUST0023,Kelsey,Castillo,Salem,27.0,Female,96931.0,212684.0,72262,Salary,Active
CUST0024,Allison,Wang,Trichy,31.0,F,,22589.0,96065,Salary,Inactive
CUST0025,Theresa,Crosby,Madurai,40.0,female,376023.0,125661.0,17897,Savings,Active
CUST0026,Katelyn,Ramirez,Chennai,37.0,FEMALE,240960.0,87899.0,73114,Salary,Inactive
CUST0027,Marc,Newman,Trichy,32.0,Female,370808.0,214420.0,97047,Savings,Inactive
CUST0028,Renee,Dunn,Trichy,38.0,female,288932.0,169820.0,104449,Current,Inactive
CUST0029,David,Myers,Coimbatore,27.0,Female,229111.0,162228.0,46648,Salary,Inactive
